model_name,loss/dsc,loss/dsc_LV,loss/dsc_RV,loss/dsc_MYO,gen/anatomically_valid_recon,beta
pc-4-ws-6420-b-0.7,0.8978481292724609,0.9348261952400208,0.8884050250053406,0.8703134655952454,0.9073832035064697,0.7
pc-4-ws-6420-b-8,0.897135853767395,0.9329013228416443,0.8833392262458801,0.8751673102378845,0.9310057759284973,0.8
pc-4-ws-6420-b-1,0.8945868015289307,0.9307249188423157,0.886526882648468,0.8665095567703247,0.9526569247245789,1.0
pc-4-ws-6420-b-3,0.8941293358802795,0.9299808740615845,0.8796708583831787,0.8727368712425232,0.960506796836853,3.0
pc-4-ws-6420-b-6,0.8934083580970764,0.9308940768241882,0.8850355744361877,0.8642958998680115,0.8892585039138794,6.0
pc-4-ws-6420-b-0.8,0.8920301795005798,0.9326416254043579,0.889158308506012,0.8542900681495667,0.9282649159431458,0.8
pc-4-ws-6420-b-0.05,0.876620352268219,0.9254813194274902,0.8510708808898926,0.8533090353012085,0.39828765392303467,0.05
pc-4-ws-6420-b-10,0.8399581909179688,0.8970165252685547,0.8248478770256042,0.7980102300643921,0.8274688124656677,10.0
pc-4-ws-6420-b-5,0.8227765560150146,0.8943088054656982,0.8067511916160583,0.7672702670097351,0.5541725158691406,5.0
pc-4-ws-6420-b-7,0.7948086261749268,0.8590269684791565,0.7736382484436035,0.7517610788345337,0.6964994668960571,7.0
pc-4-ws-6420-b-0.4,0.6573392748832703,0.8497944474220276,0.5544193387031555,0.5678040981292725,0.3368157148361206,0.4
pc-4-ws-6420-b-0.2,0.6236400604248047,0.7455745935440063,0.5781747102737427,0.5471711158752441,0.016699127852916718,0.2
pc-4-ws-6420-b-0.3,0.5246185064315796,0.63673996925354,0.475351482629776,0.4617639183998108,0.7418093681335449,0.3
pc-4-ws-6420-b-0.02,0.4725755453109741,0.6532920598983765,0.38217177987098694,0.3822624087333679,0.47207003831863403,0.02
pc-4-ws-6420-b-2,0.4636179208755493,0.5309662222862244,0.422934353351593,0.4369533658027649,0.3779308795928955,2.0
pc-4-ws-6420-b-0.9,0.4337098002433777,0.6284366250038147,0.16579307615756989,0.5068997740745544,0.9381940960884094,0.9
pc-4-ws-6420-b-4,0.3182717561721802,0.38165390491485596,0.35679614543914795,0.21636514365673065,0.5511834025382996,4.0
pc-4-ws-6420-b-0.1,0.2361174374818802,0.27957794070243835,0.2727067172527313,0.1560676395893097,0.010087301954627037,0.1
pc-4-ws-6420-b-9,0.2065688669681549,0.3732297420501709,0.14764636754989624,0.09883033484220505,0.0,9.0
pc-4-ws-6420-b-0.6,0.17165325582027435,0.2184264361858368,0.0,0.2965334355831146,0.40710586309432983,0.6
pc-4-ws-6420-b-0,0.0790652483701706,0.23139458894729614,0.0,0.005801154766231775,0.0,0.0
pc-4-ws-6420-b-0.01,0.07414793223142624,0.0,0.22244390845298767,0.0,0.0,0.01
pc-4-ws-6420-b-0.5,0.04933076351881027,0.0,0.14188654720783234,0.0061057982966303825,0.6388322710990906,0.5
