model_name,frds,dice_score,test_recon_loss
pc-4-ws-5350-b0-1500000-b1-250000-b2-500000,41.986263275146484,0.898871898651123,1429.4859619140625
pc-4-ws-5350-b0-1500000-b1-2500000-b2-100000,45.59471893310547,0.883660614490509,1572.2315673828125
pc-4-ws-5350-b0-5000000-b1-750000-b2-500000,46.15118408203125,0.8334711790084839,2326.580078125
pc-4-ws-5350-b0-1500000-b1-250000-b2-100000,50.935176849365234,0.8988626003265381,1404.5732421875
pc-4-ws-5350-b0-5000000-b1-750000-b2-5000000,55.608699798583984,0.8448172807693481,2179.0458984375
pc-4-ws-5350-b0-5000000-b1-250000-b2-100000,55.793724060058594,0.9005006551742554,1307.9822998046875
pc-4-ws-5350-b0-5000000-b1-250000-b2-5000000,56.48550796508789,0.9052207469940186,1288.812255859375
pc-4-ws-5350-b0-1500000-b1-2500000-b2-50000,57.12515640258789,0.8676367998123169,1812.2086181640625
pc-4-ws-5350-b0-1500000-b1-250000-b2-5000000,57.592464447021484,0.9009731411933899,1356.3724365234375
pc-4-ws-5350-b0-5000000-b1-2500000-b2-100000,63.21782684326172,0.8375229239463806,2179.74072265625
pc-4-ws-5350-b0-1500000-b1-750000-b2-50000,63.67924499511719,0.8702055215835571,1823.35986328125
pc-4-ws-5350-b0-1500000-b1-750000-b2-100000,65.75956726074219,0.8829748034477234,1568.70751953125
pc-4-ws-5350-b0-500000-b1-250000-b2-50000,65.77940368652344,0.933790922164917,899.61669921875
pc-4-ws-5350-b0-5000000-b1-750000-b2-1500000,66.30587005615234,0.8490486741065979,2120.318359375
pc-4-ws-5350-b0-5000000-b1-250000-b2-1500000,66.76542663574219,0.8937954902648926,1375.3604736328125
pc-4-ws-5350-b0-500000-b1-750000-b2-50000,67.7889633178711,0.9327192306518555,889.9525756835938
pc-4-ws-5350-b0-5000000-b1-250000-b2-500000,69.13745880126953,0.8945513963699341,1341.703125
pc-4-ws-5350-b0-5000000-b1-750000-b2-100000,69.48623657226562,0.8159226179122925,2534.240234375
pc-4-ws-5350-b0-1500000-b1-250000-b2-1500000,70.4375991821289,0.8975185751914978,1397.5802001953125
pc-4-ws-5350-b0-1500000-b1-250000-b2-50000,73.14307403564453,0.8891646862030029,1493.733154296875
pc-4-ws-5350-b0-5000000-b1-250000-b2-50000,86.14967346191406,0.8915187120437622,1453.430419921875
pc-4-ws-5350-b0-500000-b1-2500000-b2-50000,89.40988159179688,0.9303005337715149,913.2614135742188
pc-4-ws-5350-b0-500000-b1-250000-b2-100000,102.42981719970703,0.9350802302360535,898.2899780273438
pc-4-ws-5350-b0-500000-b1-250000-b2-500000,102.75810241699219,0.9316730499267578,896.0969848632812
pc-4-ws-5350-b0-5000000-b1-2500000-b2-50000,105.65699768066406,0.8711713552474976,1768.865234375
pc-4-ws-5350-b0-1500000-b1-2500000-b2-5000000,124.9073715209961,0.886450469493866,1589.608642578125
pc-4-ws-5350-b0-1500000-b1-750000-b2-5000000,125.1746597290039,0.8837589025497437,1586.32861328125
pc-4-ws-5350-b0-5000000-b1-750000-b2-50000,126.14459228515625,0.8604084253311157,1814.5426025390625
pc-4-ws-5350-b0-1500000-b1-2500000-b2-1500000,126.9228744506836,0.8924039006233215,1550.70751953125
pc-4-ws-5350-b0-1500000-b1-750000-b2-500000,131.37484741210938,0.8806779384613037,1624.04931640625
pc-4-ws-5350-b0-500000-b1-2500000-b2-5000000,131.65750122070312,0.9313535094261169,925.11572265625
pc-4-ws-5350-b0-5000000-b1-2500000-b2-5000000,134.29061889648438,0.7812811732292175,3014.06689453125
pc-4-ws-5350-b0-500000-b1-250000-b2-1500000,141.0856170654297,0.9331334233283997,897.5042724609375
pc-4-ws-5350-b0-1500000-b1-2500000-b2-500000,145.6964874267578,0.8815920352935791,1637.4146728515625
pc-4-ws-5350-b0-500000-b1-250000-b2-5000000,146.00025939941406,0.9328025579452515,893.2362060546875
pc-4-ws-5350-b0-500000-b1-750000-b2-1500000,147.72402954101562,0.9328756332397461,929.0106811523438
pc-4-ws-5350-b0-500000-b1-2500000-b2-100000,149.173828125,0.9301815032958984,912.8978271484375
pc-4-ws-5350-b0-5000000-b1-2500000-b2-500000,152.62686157226562,0.7913852334022522,2942.64697265625
pc-4-ws-5350-b0-1500000-b1-750000-b2-1500000,158.25375366210938,0.8813755512237549,1674.225341796875
pc-4-ws-5350-b0-500000-b1-2500000-b2-500000,160.24681091308594,0.9314184188842773,912.4737548828125
pc-4-ws-5350-b0-500000-b1-750000-b2-100000,160.6300048828125,0.9318608045578003,911.2966918945312
pc-4-ws-5350-b0-500000-b1-2500000-b2-1500000,164.47482299804688,0.9300073981285095,917.8828735351562
pc-4-ws-5350-b0-500000-b1-750000-b2-5000000,169.8465118408203,0.9291984438896179,948.67138671875
pc-4-ws-5350-b0-500000-b1-750000-b2-500000,170.3442840576172,0.9304261207580566,908.328857421875
pc-4-ws-5350-b0-5000000-b1-2500000-b2-1500000,173.72694396972656,0.7652938365936279,3104.593505859375
