model_name,dsc/test_centre_1,dsc/test_RV_centre_1,dsc/test_MYO_centre_1,dsc/test_LV_centre_1,gen/anatomically_valid_centre_1,dsc/test_centre_2,dsc/test_RV_centre_2,dsc/test_MYO_centre_2,dsc/test_LV_centre_2,gen/anatomically_valid_centre_2,dsc/test_centre_3,dsc/test_RV_centre_3,dsc/test_MYO_centre_3,dsc/test_LV_centre_3,gen/anatomically_valid_centre_3,dsc/test_centre_4,dsc/test_RV_centre_4,dsc/test_MYO_centre_4,dsc/test_LV_centre_4,gen/anatomically_valid_centre_4,dsc/test_centre_5,dsc/test_RV_centre_5,dsc/test_MYO_centre_5,dsc/test_LV_centre_5,gen/anatomically_valid_centre_5
baseline-seed-1970,0.8729258179664612,0.8767862915992737,0.8186954855918884,0.9232954978942871,0.8209535479545593,0.8746440410614014,0.8783385753631592,0.8451342582702637,0.9004594087600708,0.8279903531074524,0.8826090693473816,0.8676686882972717,0.8689687848091125,0.911190390586853,0.8430984020233154,0.8511415719985962,0.8235008120536804,0.8265204429626465,0.9034026265144348,0.8237808346748352,0.8704836964607239,0.8692656755447388,0.8343241810798645,0.9078606367111206,0.8037431836128235
baseline-seed-1971,0.8591405153274536,0.8567410707473755,0.8023297190666199,0.918350875377655,0.7921074032783508,0.8715950846672058,0.8747054934501648,0.8442425727844238,0.8958367705345154,0.807176947593689,0.8813822865486145,0.8654208183288574,0.8657206296920776,0.9130047559738159,0.8561366200447083,0.8460960388183594,0.820440948009491,0.8243582844734192,0.8934895396232605,0.8163671493530273,0.8611713647842407,0.8698621988296509,0.8191910982131958,0.8944611549377441,0.8104592561721802
baseline-seed-1972,0.8773806691169739,0.8764514923095703,0.8247936964035034,0.9308966994285583,0.8338468670845032,0.8749314546585083,0.876639723777771,0.8486172556877136,0.8995370268821716,0.818261444568634,0.8901084065437317,0.8846538066864014,0.8756048083305359,0.9100667238235474,0.8573301434516907,0.8539016842842102,0.8285555839538574,0.8295882940292358,0.9035612940788269,0.8265613317489624,0.8721106648445129,0.868038535118103,0.8381975889205933,0.9100956916809082,0.8075440526008606
baseline-seed-1973,0.8691112399101257,0.8769487142562866,0.8099933862686157,0.9203919768333435,0.868566632270813,0.8679319620132446,0.8781546354293823,0.8406336307525635,0.8850071430206299,0.8185404539108276,0.8857307434082031,0.872484028339386,0.8708057403564453,0.9139024615287781,0.8692956566810608,0.8474814295768738,0.8303206562995911,0.8209772109985352,0.8911457061767578,0.8199352025985718,0.8650312423706055,0.8734993934631348,0.8304764628410339,0.8911179304122925,0.8493461608886719
baseline-seed-1974,0.8731058835983276,0.8779193162918091,0.8212016224861145,0.9201969504356384,0.8440268635749817,0.8716768026351929,0.8787617087364197,0.8424181938171387,0.8938502073287964,0.8240030407905579,0.8845000267028809,0.8693464398384094,0.871741771697998,0.9124119281768799,0.8572597503662109,0.8455589413642883,0.8206443786621094,0.8171337842941284,0.8988983035087585,0.8306498527526855,0.8635473251342773,0.8723248243331909,0.825416088104248,0.8929004669189453,0.810970664024353
shape-prior-seed-1970,0.8805097341537476,0.886715292930603,0.8272584676742554,0.9275555610656738,0.8826278448104858,0.873765230178833,0.8820531964302063,0.8473777770996094,0.8918643593788147,0.8218499422073364,0.8890675902366638,0.867231547832489,0.8799178004264832,0.9200536012649536,0.8438233137130737,0.851448655128479,0.8277465105056763,0.8223891258239746,0.9042105674743652,0.8187811970710754,0.8675850033760071,0.8786366581916809,0.8280181884765625,0.8961003422737122,0.8630550503730774
shape-prior-seed-1971,0.8663681149482727,0.8693041801452637,0.8059908151626587,0.923809826374054,0.8549640774726868,0.8713912963867188,0.8804690837860107,0.8423228859901428,0.8913825154304504,0.8120014071464539,0.8847926259040833,0.8708882331848145,0.8702672123908997,0.913222074508667,0.8513653874397278,0.8514318466186523,0.8254865407943726,0.8248470425605774,0.9039624333381653,0.842907726764679,0.8662716150283813,0.8711251020431519,0.8265250325202942,0.901164174079895,0.8307951092720032
shape-prior-seed-1972,0.8800317049026489,0.8869050145149231,0.8263655304908752,0.9268245697021484,0.8993613123893738,0.8673658967018127,0.8740467429161072,0.8416441082954407,0.886406421661377,0.8500794768333435,0.8847097754478455,0.8726850152015686,0.8727551698684692,0.9086893796920776,0.8835160136222839,0.8481117486953735,0.8250548243522644,0.8233773112297058,0.8959031105041504,0.8731867671012878,0.8626214861869812,0.8730401992797852,0.8231916427612305,0.891633152961731,0.8701598048210144
shape-prior-seed-1973,0.8747802376747131,0.8699586987495422,0.8233861923217773,0.9309956431388855,0.8861280083656311,0.8684123158454895,0.8748612403869629,0.8425114154815674,0.8878641724586487,0.8160684704780579,0.8869514465332031,0.8802093267440796,0.8722835779190063,0.908361554145813,0.8644217252731323,0.8416673541069031,0.8291217088699341,0.8116804361343384,0.8841999173164368,0.8393500447273254,0.860615611076355,0.8710252642631531,0.8244682550430298,0.8863528966903687,0.8102527856826782
shape-prior-seed-1974,0.8642042875289917,0.85335773229599,0.8186699151992798,0.9205853939056396,0.8826278448104858,0.8649281859397888,0.8701750040054321,0.8370471000671387,0.8875623941421509,0.8050237894058228,0.878996729850769,0.8577021360397339,0.8643919825553894,0.9148963093757629,0.8202698826789856,0.8389977216720581,0.8156515955924988,0.805195152759552,0.8961471319198608,0.8446038961410522,0.8529056310653687,0.8650803565979004,0.8062074780464172,0.8874293565750122,0.8555780649185181
